area	vertices	type	avg_x	avg_y
1.732	3	0	158.594	191.337
205.9	10	0	161.351	199.665
60.62	6	0	484.518	195.221
22.08	6	0	20.022	193.731
6.928	3	0	51.125	194.098
79.89	5	0	334.044	197.363
229.7	6	0	252.15	201.038
16.89	3	0	463.846	194.478
74.48	5	0	55.746	197.062
38.32	4	0	294.27	197.574
59.97	5	0	114.368	198.829
55.86	4	0	417.293	197.749
126.2	7	0	433.235	199.152
63.87	5	0	444.667	200.309
205.2	7	0	21.901	207.309
62.14	6	0	141.424	199.927
149.4	8	0	315.694	201.22
53.26	5	0	362.575	198.559
86.82	6	0	13.486	200.276
131.4	7	0	106.152	203.523
93.75	5	0	149.722	201.154
1.949	4	0	489.083	195.77
16.02	4	0	493.105	195.669
756.7	11	0	205.526	214.054
123.2	7	0	452.117	204.317
118.9	7	0	460.851	200.957
140.5	6	1	5.103	203.212
192.0	9	1	494.517	205.078
11.69	4	0	72.644	198.745
130.3	5	0	228.953	202.367
163.2	6	0	328.305	203.752
88.98	7	0	480.592	201.031
253.5	6	0	421.446	207.213
33.99	5	0	471.406	202.989
202.2	5	0	183.334	207.347
226.2	7	0	120.344	209.231
35.07	4	0	138.923	205.424
524.2	9	0	166.415	216.533
328.2	6	0	375.049	210.233
138.1	8	0	290.884	209.83
252.7	7	0	351.603	209.538
17.54	5	0	277.556	205.804
17.97	4	0	307.006	205.342
186.0	7	0	133.267	214.822
143.8	6	0	435.173	213.023
95.48	6	0	238.913	210.199
230.1	7	0	464.074	213.653
123.0	4	0	482.641	208.892
103.7	6	0	443.834	210.484
140.1	7	0	149.019	211.479
29.88	5	0	473.4	209.117
12.99	3	1	1.033	209.116
323.0	8	0	259.548	214.448
159.3	6	0	311.819	213.397
70.58	6	0	300.201	210.091
64.74	6	0	12.281	211.226
246.2	7	0	227.055	216.87
49.15	4	0	274.289	210.085
171.9	10	0	334.591	213.994
28.58	4	0	102.593	211.176
119.5	5	0	190.03	214.276
146.1	8	0	321.395	218.182
44.6	5	0	110.351	214.499
146.4	8	0	144.02	218.443
43.73	6	0	277.665	214.956
15.59	3	0	327.052	213.866
185.3	7	1	4.7	221.261
311.8	8	0	371.824	221.463
190.5	9	0	448.964	220.802
29.88	5	0	280.621	218.028
483.7	9	0	480.495	223.44
3.681	3	0	17.074	214.189
147.4	7	0	103.518	220.217
20.14	4	0	240.452	214.942
166.5	6	1	495.735	225.374
132.9	6	0	302.441	219.275
223.0	6	0	239.867	223.392
111.9	6	0	15.935	220.283
106.5	7	0	37.377	220.127
134.5	8	0	348.771	220.689
9.526	4	0	358.921	216.251
546.2	10	0	419.675	225.951
10.83	4	0	438.96	216.784
142.9	6	0	289.656	222.344
38.11	4	0	123.134	218.878
30.74	4	0	456.403	219.339
48.28	7	0	116.385	220.404
22.52	4	0	282.704	220.907
12.77	4	0	340.975	219.794
184.9	7	0	394.912	225.054
189.2	5	0	89.318	224.772
980.8	9	1	20.862	238.534
1.949	3	0	183.333	219.393
199.4	7	0	257.26	226.331
71.88	7	0	273.612	222.736
103.7	6	0	61.267	226.245
129.5	7	0	187.603	227.049
225.8	5	0	328.306	229.219
564.4	9	0	361.379	235.251
8.227	3	0	67.414	224.13
23.6	5	0	216.271	224.801
87.04	5	0	109.3	228.174
770.3	13	0	122.786	235.922
27.93	5	0	338.669	224.042
3.681	4	0	367.221	222.034
46.98	5	0	438.228	224.983
48.06	5	0	309.592	226.325
506.2	9	0	291.763	235.717
463.5	10	0	317.337	239.684
37.67	4	0	387.32	227.528
77.51	7	0	459.529	227.271
20.14	4	0	342.833	225.94
56.94	6	0	279.871	228.341
104.8	5	0	42.631	229.725
790.2	8	0	170.725	243.61
76.43	5	0	271.099	229.678
69.93	5	0	462.478	231.678
176.5	6	0	78.627	234.027
